"model","window","coin","horizon","accuracy","misclassifications","sensitivity","specificity","precision","recall","f1_score","TP","TN","FP","FN","FP_cost_ratio","FN_cost_ratio","total_observations"
"PLS","Window 2","DAI","1d",0.829981718464351,0.170018281535649,0.3,0.834870848708487,0.0164835164835165,0.3,0.03125,3,905,179,7,0.96236559139785,0.0376344086021505,1094
"PLS","Window 2","DAI","3d",0.975274725274725,0.0247252747252747,0,0.994397759103641,0,0,0,0,1065,6,21,0.222222222222222,0.777777777777778,1092
"PLS","Window 2","DAI","5d",0.956880733944954,0.0431192660550459,0.107142857142857,0.979284369114878,0.12,0.107142857142857,0.113207547169811,3,1040,22,25,0.468085106382979,0.531914893617021,1090
"PLS","Window 2","DAI","7d",0.893382352941177,0.106617647058823,0.472222222222222,0.907794676806084,0.149122807017544,0.472222222222222,0.226666666666667,17,955,97,19,0.836206896551724,0.163793103448276,1088
"PLS","Window 2","PAX","1d",0.975,0.025,0.142857142857143,0.983655274888559,0.0833333333333333,0.142857142857143,0.105263157894737,1,662,11,6,0.647058823529412,0.352941176470588,680
"PLS","Window 2","PAX","3d",0.958702064896755,0.0412979351032449,0.0526315789473684,0.984825493171472,0.0909090909090909,0.0526315789473684,0.0666666666666667,1,649,10,18,0.357142857142857,0.642857142857143,678
"PLS","Window 2","PAX","5d",0.83284023668639,0.16715976331361,0.08,0.861751152073733,0.0217391304347826,0.08,0.0341880341880342,2,561,90,23,0.79646017699115,0.20353982300885,676
"PLS","Window 2","PAX","7d",0.637982195845697,0.362017804154303,0.161290322580645,0.660964230171073,0.0224215246636771,0.161290322580645,0.0393700787401575,5,425,218,26,0.89344262295082,0.10655737704918,674
"PLS","Window 2","USDT","1d",0.994515539305302,0.00548446069469832,0,1,NA,0,NA,0,1088,0,6,0,1,1094
"PLS","Window 2","USDT","3d",0.990842490842491,0.00915750915750912,0,1,NA,0,NA,0,1082,0,10,0,1,1092
"PLS","Window 2","USDT","5d",0.987155963302752,0.0128440366972477,0,1,NA,0,NA,0,1076,0,14,0,1,1090
"PLS","Window 2","USDT","7d",0.983455882352941,0.0165441176470589,0,1,NA,0,NA,0,1070,0,18,0,1,1088
"PLS","Window 2","USDC","1d",0.915904936014625,0.0840950639853748,0.010752688172043,1,1,0.010752688172043,0.0212765957446809,1,1001,0,92,0,1,1094
"PLS","Window 2","USDC","3d",0.836080586080586,0.163919413919414,0.0110497237569061,1,1,0.0110497237569061,0.0218579234972678,2,911,0,179,0,1,1092
"PLS","Window 2","USDC","5d",0.769724770642202,0.230275229357798,0,0.998809523809524,0,0,0,0,839,1,250,0.00398406374501992,0.99601593625498,1090
"PLS","Window 2","USDC","7d",0.708639705882353,0.291360294117647,0,0.994838709677419,0,0,0,0,771,4,313,0.0126182965299685,0.987381703470032,1088
"PLS","Window 2","UST","1d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PLS","Window 2","UST","3d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PLS","Window 2","UST","5d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
"PLS","Window 2","UST","7d",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
