"model","window","coin","horizon","accuracy","sensitivity","specificity","precision","recall","f1_score","auc","TP","TN","FP","FN","total_observations"
"PLS","Window 2","USDT","depeg_3d",0.991,0,1,0,0,0,0.587,0,1082,0,10,1092
"PLS","Window 2","USDT","depeg_5d",0.987,0,1,0,0,0,0.569,0,1076,0,14,1090
"PLS","Window 2","USDT","depeg_7d",0.983,0,1,0,0,0,0.548,0,1070,0,18,1088
"RF","Window 1","DAI","depeg_1d",0.976,1,0.97,0.886,1,0.939,0.988,31,129,4,0,164
"RF","Window 1","DAI","depeg_3d",0.64,0.971,0.55,0.37,0.971,0.535,0.973,34,71,58,1,164
"RF","Window 1","DAI","depeg_5d",0.829,0.919,0.803,0.576,0.919,0.708,0.906,34,102,25,3,164
"RF","Window 1","DAI","depeg_7d",0.774,0.872,0.744,0.515,0.872,0.648,0.887,34,93,32,5,164
"RF","Window 1","PAX","depeg_1d",1,0,1,0,0,0,0,0,40,0,0,40
"RF","Window 1","PAX","depeg_3d",1,0,1,0,0,0,0,0,40,0,0,40
"RF","Window 1","PAX","depeg_5d",1,0,1,0,0,0,0,0,40,0,0,40
"RF","Window 1","PAX","depeg_7d",1,0,1,0,0,0,0,0,40,0,0,40
"RF","Window 1","USDC","depeg_1d",0.97,0.914,0.984,0.941,0.914,0.928,0.972,32,127,2,3,164
"RF","Window 1","USDC","depeg_3d",0.951,0.846,0.984,0.943,0.846,0.892,0.91,33,123,2,6,164
"RF","Window 1","USDC","depeg_5d",0.89,0.733,0.95,0.846,0.733,0.786,0.803,33,113,6,12,164
"RF","Window 1","USDC","depeg_7d",0.78,0.627,0.85,0.653,0.627,0.64,0.739,32,96,17,19,164
"RF","Window 1","USDT","depeg_1d",1,0,1,0,0,0,0,0,164,0,0,164
"RF","Window 1","USDT","depeg_3d",0.988,0,0.994,0,0,0,0.653,0,162,1,1,164
"RF","Window 1","USDT","depeg_5d",0.951,0,0.969,0,0,0,0.573,0,156,5,3,164
"RF","Window 1","USDT","depeg_7d",0.939,0,0.969,0,0,0,0.639,0,154,5,5,164
"RF","Window 1","UST","depeg_1d",0.706,0.508,0.837,0.673,0.508,0.579,0.778,33,82,16,32,163
"RF","Window 1","UST","depeg_3d",0.571,1,0,0.571,1,0.727,0.675,92,0,69,0,161
"RF","Window 1","UST","depeg_5d",0.786,0.981,0.407,0.763,0.981,0.858,0.696,103,22,32,2,159
"RF","Window 1","UST","depeg_7d",0.822,0.964,0.467,0.818,0.964,0.885,0.757,108,21,24,4,157
"RF","Window 2","DAI","depeg_1d",0.992,0.5,0.996,0.556,0.5,0.526,0.856,5,1080,4,5,1094
"RF","Window 2","DAI","depeg_3d",0.984,0.429,0.995,0.643,0.429,0.514,0.751,9,1066,5,12,1092
"RF","Window 2","DAI","depeg_5d",0.962,0.429,0.976,0.324,0.429,0.369,0.584,12,1037,25,16,1090
