date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,PL_3,PH_3,PL_5,PH_5,PL_7,PH_7,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close
2021-09-02,1.00099858,1.00217512,0.99919457,1.00049034,0,0,0,0,0.99878178,1.00173092,0.99878178,1.00173092,0.99878178,1.00258586,73309007.02,2121242585.44,0.9922171877422108,1.0077828122577892,2427799997.78,2426610135.33,32.86503793
2021-09-03,1.00038445,1.00398346,0.99681568,0.99878178,0,0,0,0,0.99958705,1.00173092,0.99958705,1.00173092,0.99958705,1.00584024,67653279.07,2149530743.23,0.9922514796191154,1.0077485203808845,2432014380.47,2434980723.22,31.74186424
2021-09-04,0.99875244,1.00327596,0.99810866,1.00173092,0,0,0,0,0.99958705,1.00029963,0.99958705,1.00258586,0.99958705,1.00584024,33933631.12,2148675508.0899997,0.9922504517102384,1.0077495482897616,2440176366.05,2435959920.44,31.40615857
2021-09-05,1.00176972,1.0026776,0.99939755,0.99958705,0,0,0,0,0.9998029,1.00029963,0.9998029,1.00584024,0.9998029,1.00584024,49986317.26,2167704073.7,0.9922731941120676,1.0077268058879325,2441393476.92,2442402064.22,34.48678541
2021-09-06,0.99960158,1.00569623,0.99578583,0.99984252,0,0,0,0,0.9998029,1.00258586,0.9998029,1.00584024,0.9998029,1.00584024,65331495.04,2200211259.8799996,0.9923114364976248,1.0076885635023751,2446057875.91,2446443133.75,32.35395243
2021-09-07,1.00061679,1.01546242,0.98689256,1.00029963,0,0,0,0,0.9998029,1.00584024,0.9998029,1.00584024,0.9998029,1.00584024,218008614.42,2386390097.5499997,0.992516820079048,1.0074831799209518,2455237061.09,2454501606.76,27.78993735
2021-09-08,1.00019158,1.00456289,0.99615847,0.9998029,0,0,0,0,1.00258586,1.00584024,1.00258586,1.00584024,1.00258586,1.00584024,134235095.37,2469860617.9299994,0.992602087592562,1.007397912407438,2459246039.16,2459730841.62,29.42649879
2021-09-09,1.0006168,1.0084334,0.99191773,1.00258586,0,0,0,0,1.00363451,1.00584024,1.0032791831,1.00584024,1.0032791831,1.00584024,121671076.23,2546130730.5099993,0.9926767066041894,1.0073232933958107,2481439935.05,2475039832.65,30.51192747
2021-09-10,1.00184648,1.02051982,0.99237218,1.00584024,0,0,0,0,1.0032791831,1.00425102,1.0032791831,1.0047415602,1.0032791831,1.0047415602,282833498.68,2763950378.609999,0.9928743702468116,1.0071256297531883,2527042380.92,2512369533.95,43.5446671
2021-09-11,1.00767286,1.01160087,0.99735962,1.00425102,0,0,0,0,1.0032791831,1.0047415602,1.0032791831,1.0047415602,1.0029670237,1.0047415602,147306478.46,2863841026.359999,0.9929581998097332,1.0070418001902668,2553519927.41,2542710814.58,39.0930679
2021-09-12,1.00295606,1.00897305,0.99896411,1.00363451,0,0,0,0,1.0032791831,1.0047415602,1.0032791831,1.0047415602,1.0029670237,1.0047470736,105792049.93,2903073462.9999995,0.9929900649935448,1.0070099350064552,2558478691.45,2549213552.48,39.2287166
2021-09-13,1.00307648,1.00970295,0.9971965082,1.0032791831,0,0,0,0,1.0040198854,1.0047415602,1.0029670237,1.0047415602,1.0012358796,1.0047470736,142799002.98,3000973269.6799994,0.993067136902704,1.006932863097296,2563276540.84,2554898560.57,37.1915734956
2021-09-14,1.0033573647,1.0065084419,0.9975235182,1.0047415602,0,0,0,0,1.0040198854,1.0040856975,1.0029670237,1.0047470736,1.0000554001,1.0047470736,198172752.76,3159499208.3599997,0.993185082808871,1.006814917191129,2580725168.39,2568546251.76,35.6665664841
2021-09-15,1.0054766085,1.0063630551,1.0020968179,1.0040198854,0,0,0,0,1.0029670237,1.0040856975,1.0012358796,1.0047470736,1.0000554001,1.0047470736,157015294.2,3211312555.459999,0.9932219337784384,1.0067780662215615,2592877147.61,2582495810.35,36.6892040734
2021-09-16,1.003907321,1.0059667496,1.0014186403,1.0040753098,0,0,0,0,1.0029670237,1.0047470736,1.0000554001,1.0047470736,1.0000554001,1.0047470736,156218071.17,3226545764.299999,0.9932326175069476,1.0067673824930523,2595066245.74,2584533471.08,37.5224696086
2021-09-17,1.004207474,1.0069222655,1.0013870694,1.0040856975,0,0,0,0,1.0012358796,1.0047470736,1.0000554001,1.0047470736,1.0000554001,1.0047470736,86668597.78,3160043908.9,0.9931854743965078,1.0068145256034922,2606927674.65,2596319896.81,34.4256511476
2021-09-18,1.0044574376,1.0097396102,1.0007742416,1.0029670237,0,0,0,0,1.0000554001,1.0047470736,1.0000554001,1.0047470736,1.0000554001,1.0047470736,64977872.01,3107975075.9599996,0.9931476296977706,1.0068523703022294,2606147593.03,2598437966.01,34.7816325587
2021-09-19,1.0023619014,1.0121491941,1.0004158428,1.0047470736,0,0,0,0,1.0000554001,1.0012358796,1.0000554001,1.0023263134,1.0000554001,1.0026139448,73254271.19,3112153140.01,0.9931506975056036,1.0068493024943963,2616126499.09,2603766229.13,32.9621812976
