date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,PL_3,PH_3,PL_5,PH_5,PL_7,PH_7,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close
2022-09-13,0.999834439,1.0002969161,0.9965927304,0.9997496749,0,0,0,0,0.9996943249,1.0001183251,0.9993662728,1.0001569431,0.9993472508,1.0001569431,851331147.93,14857047464.04,0.995932235238794,1.004067764761206,6851576129.44,6854139607.87,3.5559405574e-4
2022-09-14,0.9985075398,1.0005373106,0.9981724852,1.0001165573,0,0,0,0,0.9996943249,1.0001569431,0.9993472508,1.0001569431,0.9993472508,1.0001569431,698410149.05,14918393809.18,0.9959378186221436,1.0040621813778563,6833988190.78,6833191732.48,2.9969619798e-4
2022-09-15,1.0000256589,1.0006654368,0.9982346634,0.9996943249,0,0,0,0,0.9993662728,1.0001569431,0.9993472508,1.0001569431,0.9993472508,1.0001569431,694549243.93,15090119856.46,0.9959532866985088,1.0040467133014912,6831512259.32,6833601120.86,2.5746969326e-4
2022-09-16,0.9998016683,1.0006493711,0.9984655334,1.0001183251,0,0,0,0,0.9993472508,1.0001569431,0.9993472508,1.0001569431,0.9993472508,1.0001569431,442803638.79,14956930335.330002,0.995941310359016,1.004058689640984,6834063123.33,6833254577.53,3.1091256334e-4
2022-09-17,1.000207058,1.000717392,0.9989567834,1.0001569431,0,0,0,0,0.9993472508,0.9994524317,0.9993472508,1.0000485234,0.9993472508,1.000124692,190998906.98,14814281990.61,0.9959283247610622,1.0040716752389378,6835308977.27,6834236391.12,3.1057167363e-4
2022-09-18,1.0000961587,1.0003615175,0.9986254855,0.9993662728,0,0,0,0,0.9993472508,1.0000485234,0.9993472508,1.000124692,0.9993472508,1.000124692,371262484.57,14377042003.26,0.9958874598320402,1.0041125401679598,6880542889.87,6884906041.84,2.7223890846e-4
2022-09-19,0.9992219599,1.0008545675,0.9980356456,0.9993472508,0,0,0,0,0.9994524317,1.0000485234,0.9994524317,1.000124692,0.9994524317,1.000124692,489419433.14,14361805761.98,0.9958860060336784,1.0041139939663215,6831651062.36,6836113329.64,3.1135654467e-4
2022-09-20,0.9992224729,1.0008983959,0.9986289332,0.9994524317,0,0,0,0,0.9996858186,1.000124692,0.9995537072,1.000124692,0.9995537072,1.000124692,351287177.02,14284935003.49,0.9958786397590972,1.0041213602409027,6874736727.61,6878503177.62,3.0264887459e-4
2022-09-21,0.9995459039,1.0014549494,0.997876038,1.0000485234,0,0,0,0,0.9995537072,1.000124692,0.9995537072,1.000124692,0.9993881995,1.000124692,487158988.13,14281170381.37,0.995878277650568,1.004121722349432,6876149457.83,6875815820.08,2.8560619246e-4
2022-09-22,1.0001576057,1.0011581036,0.9986229776,0.9996858186,0,0,0,0,0.9995537072,1.000124692,0.9995537072,1.000124692,0.9993881995,1.000124692,375568902.32,14180761555.77,0.9958685723811632,1.004131427618837,6932384712.94,6934563423.48,2.7451279787e-4
